id,group,sample,group_original,sample_original,directory,lane,fastq_1,fastq_2,read_num_1,read_num_2
UMI8b.IL.THSS3.12C_UMI8b.1.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.1.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_1_IL_THSS3_12C,20230818,2,20230818/K562_THSS3_1_Illumina_12c_S13_R1_001.fastq.gz,20230818/K562_THSS3_1_Illumina_12c_S13_R3_001.fastq.gz,28581285,28581285
UMI8b.IL.THSS3.12C_UMI8b.2.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.2.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_2_IL_THSS3_12C,20230804,1,20230804/K562_THSS3_2_Illumina_12c_S19_R1_001.fastq.gz,20230804/K562_THSS3_2_Illumina_12c_S19_R3_001.fastq.gz,2380586,2380586
UMI8b.IL.THSS3.12C_UMI8b.2.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.2.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_2_IL_THSS3_12C,20230818,2,20230818/K562_THSS3_2_Illumina_12c_S14_R1_001.fastq.gz,20230818/K562_THSS3_2_Illumina_12c_S14_R3_001.fastq.gz,33562062,33562062
UMI8b.IL.THSS3.12C_UMI8b.3.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.3.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_3_IL_THSS3_12C,20230804,1,20230804/K562_THSS3_3_Illumina_12c_S20_R1_001.fastq.gz,20230804/K562_THSS3_3_Illumina_12c_S20_R3_001.fastq.gz,3585535,3585535
UMI8b.IL.THSS3.12C_UMI8b.3.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.3.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_3_IL_THSS3_12C,20230818,2,20230818/K562_THSS3_3_Illumina_12c_S15_R1_001.fastq.gz,20230818/K562_THSS3_3_Illumina_12c_S15_R3_001.fastq.gz,25984988,25984988
UMI8b.IL.THSS3.12C_UMI8b.4.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.4.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_4_IL_THSS3_12C,20230804,1,20230804/K562_THSS3_4_Illumina_12c_S21_R1_001.fastq.gz,20230804/K562_THSS3_4_Illumina_12c_S21_R3_001.fastq.gz,2871898,2871898
UMI8b.IL.THSS3.12C_UMI8b.4.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.4.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_4_IL_THSS3_12C,20230818,2,20230818/K562_THSS3_4_Illumina_12c_S16_R1_001.fastq.gz,20230818/K562_THSS3_4_Illumina_12c_S16_R3_001.fastq.gz,28634017,28634017
UMI8b.IL.DFSS3.24C_UMI8b.1.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.1.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_1_IL_DFSS3_24C,20230804,1,20230804/K562_DFSS3_1_Illumina_24c_S22_R1_001.fastq.gz,20230804/K562_DFSS3_1_Illumina_24c_S22_R3_001.fastq.gz,5309072,5309072
UMI8b.IL.DFSS3.24C_UMI8b.1.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.1.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_1_IL_DFSS3_24C,20230818,2,20230818/K562_DFSS3_1_Illumina_24c_S17_R1_001.fastq.gz,20230818/K562_DFSS3_1_Illumina_24c_S17_R3_001.fastq.gz,31156227,31156227
UMI8b.IL.DFSS3.24C_UMI8b.2.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.2.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_2_IL_DFSS3_24C,20230804,1,20230804/K562_DFSS3_2_Illumina_24c_S23_R1_001.fastq.gz,20230804/K562_DFSS3_2_Illumina_24c_S23_R3_001.fastq.gz,4138733,4138733
